id,prediction
14711831,0.49201167
16316387,0.48452127
6771382,0.51719546
686045,0.4872175
8755882,0.4872175
10247299,0.49201167
2985764,0.47851604
7050757,0.47741556
12921966,0.47792822
18405499,0.51719546
13271738,0.49936044
4989026,0.47323316
11992549,0.5231208
12230726,0.5067233
4369817,0.5369406
8110882,0.51719546
9954630,0.5231208
12257830,0.48664403
15913215,0.5231208
9795517,0.51719546
15657409,0.48453045
1136451,0.47741556
3859071,0.46737224
13542987,0.49936044
11647267,0.49936044
8047788,0.5067233
4657554,0.51719546
14265844,0.49936044
12659406,0.49205357
8297573,0.5118799
16018807,0.49636993
3969927,0.4851638
16858021,0.51719546
5352376,0.51719546
10213012,0.5369406
4614747,0.4872175
16789342,0.49404305
10803800,0.46737224
11512701,0.48486358
3491423,0.48731464
9736625,0.4872175
18414026,0.51719546
18506042,0.48453045
5297710,0.46737224
1225799,0.47741556
18236332,0.4872175
2228051,0.5231208
14510491,0.49936044
6674080,0.49190682
1464027,0.5073451
12200521,0.5369406
2741474,0.46737224
10558650,0.48731464
3295288,0.46737224
18297150,0.4872175
18727545,0.5231208
150882,0.49936044
11276232,0.5067233
16267250,0.48467714
9023513,0.4872175
13409228,0.4872175
18718466,0.49938577
15715748,0.49936044
17822655,0.5231208
8009604,0.46737224
6201294,0.47792822
14390786,0.48731464
12582652,0.49936044
2988697,0.48731464
15292890,0.46737224
18274085,0.5015706
12222416,0.5369406
12435047,0.5369406
140873,0.47792822
17017564,0.4872175
1755731,0.47792822
12920794,0.5067233
13583288,0.48664403
17806160,0.51175684
16678146,0.5067233
1363102,0.49936044
1009116,0.5231208
9009331,0.49455655
12731976,0.48580235
6211897,0.47741556
17864353,0.50290674
2939764,0.4791546
12898830,0.46737224
13587800,0.5178398
2491177,0.5190088
641074,0.5369406
9391585,0.49579233
6906880,0.48453045
17796316,0.51719546
12658511,0.49190682
8431955,0.49419898
4721377,0.48452127
3369989,0.5118799
2763353,0.46801078
13487103,0.49936044
7154556,0.51719546
13540408,0.49595362
14807344,0.47792822
16355508,0.50431913
18446299,0.48665392
1619254,0.51719546
4099826,0.4872175
4627651,0.48731464
11383293,0.5369406
18694830,0.5118799
17232220,0.4814039
16571564,0.5178398
1298439,0.47741556
12871017,0.46737224
6038751,0.4872175
8543454,0.49936044
17750832,0.47741556
3190780,0.49936044
5886061,0.47851604
5753297,0.49876058
1381598,0.5067233
14179932,0.51719546
5003358,0.5067233
17134461,0.49324006
5578069,0.5011976
18129385,0.5067233
1691228,0.5118799
339,0.5011976
9413561,0.49936044
16858289,0.49201167
16501105,0.49936044
13341739,0.4872175
3898439,0.49936044
9917812,0.5067233
14699668,0.4946816
13662705,0.49404305
14208706,0.51719546
16281712,0.51191443
4714492,0.51719546
5311257,0.46737224
3810970,0.49936044
16798026,0.46737224
5837073,0.47264338
6685181,0.51719546
5429310,0.49936044
17852949,0.46737224
7826658,0.5369406
10824747,0.4872175
7244874,0.47741556
12780207,0.47851604
9082645,0.4780541
13416434,0.49404305
18451353,0.47741556
13618039,0.51719546
17583160,0.48731464
140641,0.49936044
637617,0.47741556
5747444,0.49404305
14274663,0.49876058
9700567,0.5067233
925971,0.46737224
5629554,0.5067233
15851399,0.5118799
6490374,0.51719546
17559327,0.51910555
157200,0.48731464
17895892,0.5369406
17611406,0.51719546
2844363,0.49404305
3528142,0.5118736
9477585,0.50915164
1618803,0.49936044
11111812,0.50431913
12109000,0.49579233
4959405,0.5011976
13875981,0.5067233
14111028,0.47741556
18431496,0.46737224
880443,0.5369406
18681799,0.49936044
17363057,0.47792822
9684801,0.46737224
8712912,0.47323316
10431606,0.47741556
4272427,0.46737224
6809963,0.50915164
13023764,0.4872175
3003908,0.5231208
7412059,0.5231208
17471797,0.47741556
6575348,0.48453045
16227004,0.5067233
13156274,0.5369406
10669540,0.5067233
17114825,0.49936044
2493816,0.47792822
2256483,0.51719546
4623537,0.49254036
17212119,0.49595362
14379850,0.46737224
9424842,0.51719546
10016935,0.4872175
18245704,0.49190682
13634842,0.49936044
8424154,0.5067233
6804039,0.5067233
6290750,0.47792822
18191115,0.4872175
4401822,0.5067233
9823925,0.50431913
15855769,0.47268802
15817923,0.5231208
2275903,0.49876058
272635,0.48731464
11706236,0.51719546
8521388,0.5118799
6486852,0.482916
17159260,0.46737224
16726553,0.46737224
9405972,0.4872175
1039803,0.49936044
358371,0.49936044
3732003,0.49936044
4658695,0.49201167
15015747,0.48649734
18250714,0.47792822
4172813,0.49404305
15029152,0.517834
3650013,0.51719546
17647764,0.49201167
13425516,0.49595362
11478410,0.514408
6384640,0.49936044
6494376,0.47264338
13344965,0.47792822
9348956,0.51719546
4297004,0.46737224
1818595,0.5118736
3408514,0.47741556
225705,0.5369406
3069486,0.5067233
15586183,0.49404305
2859053,0.5231208
11562567,0.49419898
6198915,0.50431913
6084087,0.48486358
1390821,0.51191443
13758482,0.5067233
5431187,0.47741556
14542039,0.49404305
3451596,0.49938577
15847311,0.5067233
7488219,0.47323316
12856150,0.4769854
11289386,0.46737224
12061961,0.5231208
4539329,0.49936044
18722199,0.4872175
244060,0.4814039
6323955,0.4872175
4768732,0.49936044
15977984,0.49936044
8492228,0.5118736
4777801,0.47323316
18503753,0.51719546
18474444,0.47741556
5654213,0.51719546
11229562,0.51719546
16732655,0.49936044
13099913,0.46737224
3067135,0.5067233
10634936,0.5231208
6414134,0.4851638
8073131,0.5118799
15620401,0.49201167
9465273,0.47741556
3208219,0.50290674
18066019,0.46737224
4785960,0.47323316
16314324,0.49936044
8411762,0.4872175
1143240,0.49404305
14915529,0.47741556
15235444,0.50431913
14810592,0.49254036
4774185,0.49936044
12236940,0.46737224
3444145,0.47323316
14275630,0.49936044
7982268,0.5067233
1053661,0.4814039
13508461,0.49936044
1982639,0.47792822
1003282,0.5369406
4548346,0.48649734
17490211,0.5011976
6400887,0.48452127
17906454,0.5067233
412442,0.49201167
7285706,0.49382555
7598245,0.5067233
11588014,0.49938577
966307,0.51445144
3632025,0.47928137
13756102,0.48711738
6584428,0.48754627
2534227,0.4851638
7922356,0.5118799
300840,0.47792822
2906963,0.5196238
13054247,0.49404305
13455567,0.47741556
10466413,0.50431913
11064202,0.47264338
2099550,0.51719546
1406289,0.49579233
13060084,0.49201167
6115293,0.47856677
18568621,0.46737224
9546373,0.51719546
2046792,0.47792822
15964610,0.49936044
16589750,0.51719546
276316,0.49936044
11814613,0.46737224
4405321,0.46737224
13630637,0.49936044
229211,0.5369406
17825960,0.51719546
9708294,0.49936044
4658075,0.51719546
2082844,0.48665392
1886376,0.48420358
3396940,0.5196238
1640065,0.4872175
830249,0.48731464
11268557,0.5067233
18023348,0.46737224
16416492,0.5067233
15615309,0.47824126
5205657,0.47792822
15980776,0.51719546
72701,0.46737224
10563821,0.49876058
8995697,0.5231208
1693717,0.49936044
5443090,0.51719546
8298896,0.50452703
1428999,0.5067233
13244391,0.46737224
13553903,0.51719546
8544793,0.47792822
17642060,0.5231208
12028831,0.47741556
10959168,0.5067233
12693581,0.5369406
2684716,0.5067233
9809527,0.48731464
12565809,0.51719546
3687770,0.49938577
6156082,0.50431913
7057781,0.51719546
8582767,0.49201167
2500909,0.5118736
230297,0.4814039
8462443,0.46737224
11316882,0.5067233
18720868,0.48711738
11769462,0.47268802
9252028,0.46737224
3454800,0.47741556
9374879,0.47741556
3713381,0.51719546
6423694,0.46737224
1959361,0.47274786
10536504,0.49697584
18757529,0.492521
17516355,0.5369406
7210162,0.47928137
16247032,0.47741556
12150928,0.5067233
15363149,0.46737224
4596261,0.49936044
16323877,0.49936044
3193196,0.46737224
9802761,0.46737224
14880771,0.49254036
12256864,0.5143428
3782169,0.48731464
16039905,0.5067233
8896861,0.47274786
5703093,0.5017888
12138640,0.50431913
9092103,0.46737224
8030792,0.47824126
12344057,0.51719546
15256163,0.5369406
11705275,0.47792822
17044964,0.51719546
1863723,0.53162503
12528831,0.49404305
16271925,0.49936044
15159050,0.46737224
1631813,0.48731464
15827425,0.49936044
13015345,0.5000243
2752697,0.4872175
11854835,0.49254036
14712449,0.49697584
12191618,0.51719546
7473072,0.46737224
6163178,0.50431913
10406880,0.49201167
15853198,0.48731464
10391266,0.51719546
7992501,0.4814039
8108401,0.47792822
6580375,0.4872175
14070554,0.47323316
11159371,0.46737224
14640388,0.48731464
18058128,0.499999
7169925,0.48452127
7131439,0.48731464
2773645,0.46737224
15168091,0.48731464
18541247,0.46737224
7111177,0.5118799
6643939,0.4814039
1078105,0.51719546
1478915,0.47323316
18646762,0.46737224
16165125,0.49936044
15210316,0.51191443
8220199,0.5264684
13956310,0.49579233
2415905,0.5067233
6097316,0.51719546
17891545,0.5345528
1551846,0.49936044
2643764,0.49936044
8090350,0.5118799
15437096,0.49404305
12189317,0.47741556
17399134,0.5118736
10207833,0.49201167
1995584,0.4798439
18390086,0.49936044
6637096,0.46737224
9580815,0.5351042
4071893,0.46737224
15255292,0.48731464
9476087,0.51719546
9352936,0.5369406
10267455,0.4872175
13076850,0.4814039
6634009,0.51719546
14528631,0.49201167
6711265,0.5118799
17426341,0.49404305
12530373,0.47741556
14013560,0.4872175
2746422,0.47741556
10594358,0.5231208
7861635,0.51719546
17682194,0.46737224
17720102,0.49936044
2875981,0.5067233
14734291,0.47792822
2512735,0.49201167
11305476,0.46737224
15781939,0.51719546
7899312,0.48862714
977449,0.49404305
234831,0.49697584
16271264,0.49938577
14457898,0.46737224
12173272,0.5118799
14427994,0.46737224
3856091,0.48225302
5016462,0.51719546
14896842,0.49938577
223658,0.4872175
11673513,0.5231208
15219765,0.46737224
6340326,0.51910555
11626990,0.49579233
5723871,0.46737224
3790150,0.48731464
5055909,0.47741556
16280591,0.47268802
14922286,0.48731464
7017870,0.49697584
1517516,0.4851638
2564841,0.49936044
1109874,0.5011976
15175822,0.5231208
425108,0.46737224
4289031,0.4723184
12153640,0.47851604
2618653,0.46737224
12174670,0.49936044
7683377,0.5231208
14006574,0.4738717
3682979,0.49876058
16372329,0.47264338
17253728,0.50290674
4197451,0.47741556
1771077,0.47928137
1478836,0.46801078
1498302,0.5067233
8243116,0.46737224
4828420,0.47851604
18320043,0.49404305
6272324,0.50431913
15549256,0.5067233
5547359,0.47323316
12602845,0.46737224
2345582,0.49876058
9968132,0.49938577
9089915,0.46737224
